,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,y'__10,y'__11,y'__12,y'__13,y'__14,y'__15,y'__16,y'__17,y'__18,y'__19,y'__20,y'__21,y'__22,y'__23,y'__24,Recall
y:label=0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9545
y:label=1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.9677
y:label=2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=5,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9545
y:label=6,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=7,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=8,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9687
y:label=9,0,0,0,0,0,1,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
y:label=10,0,0,0,0,0,1,1,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.875
y:label=11,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9545
y:label=12,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0.8823
y:label=13,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0,0.9565
y:label=14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1
y:label=15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0.9130
y:label=16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,2,0,0,0,0,0.8888
y:label=17,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,19,0,0,0,1,0,0,0,0.76
y:label=18,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,18,0,0,0,0,0,0,0.7826
y:label=19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,0,0,0,0,0,0.8695
y:label=20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1
y:label=21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0.9523
y:label=22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1
y:label=23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1
y:label=24,3,1,0,1,1,0,0,0,3,0,4,0,0,0,1,0,0,1,1,0,2,0,1,0,10,0.3448
Precision,0.7777,0.9677,0.9545,0.875,0.9166,0.84,0.9523,1,0.8857,0.92,0.8076,0.9545,1,1,0.88,0.84,0.9230,0.8636,0.9473,1,0.8709,0.9090,0.9333,1,1,
F-Measures,0.8570,0.9677,0.9767,0.9333,0.9564,0.8935,0.9755,1,0.9253,0.92,0.8399,0.9545,0.9374,0.9777,0.9361,0.8749,0.9055,0.8084,0.8571,0.9301,0.9309,0.9301,0.9654,1,0.5127,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy,0.9124,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.Precision,0.9207,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.Recall,0.9178,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.F-Measures,0.9106,,,,,,,,,,,,,,,,,,,,,,,,,
