x:image,y:label,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,y'__10,y'__11,y'__12,y'__13,y'__14,y'__15,y'__16,y'__17,y'__18,y'__19,y'__20,y'__21,y'__22,y'__23,y'__24
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes\Bottom_R1\PICT371.png,5,1.0685097e-06,1.0837911e-06,7.990486e-08,1.721843e-07,0.0019355898,0.9868285,0.007936653,0.0006749317,0.0011436706,0.00024914634,6.230661e-05,0.00044250797,0.0002088807,0.00021262727,1.6032505e-08,5.588132e-07,8.947713e-05,0.00014389756,2.7610222e-06,1.6213799e-05,1.9118604e-06,6.597679e-07,1.4840583e-07,4.248807e-09,4.7057114e-05
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes\Front_R2\PICT663.png,10,0.00056263164,0.0003472058,0.00067979493,0.00019527969,0.009835204,0.12096984,0.102777585,0.018034974,0.16951074,0.028392311,0.377948,0.031721868,0.00014559906,0.00048496583,0.008040472,0.035484508,0.00940638,0.003901395,0.012995308,0.024008261,0.00015704495,7.38072e-05,0.0025791319,0.00049312494,0.04125465
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes\Top_R1\PICT184.png,21,0.0014027769,0.008271437,0.00026180357,0.0032418282,0.00020349225,5.1187617e-06,2.0348546e-06,4.8390193e-05,8.06702e-07,0.00017635628,5.797972e-06,2.822236e-05,0.0011512472,0.0007200378,1.5696756e-05,6.993502e-08,0.0008253636,0.022122376,6.794693e-05,1.0537434e-06,0.0003747676,0.960687,0.00026160092,6.853561e-06,0.00011793863
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes\Front_R2\PICT622.png,10,0.0018948581,5.839544e-05,0.00641517,0.0010989242,0.00058003754,0.00023068108,0.014742161,0.0017259405,0.0017252049,2.092908e-05,0.965753,7.310437e-05,7.8628305e-05,0.00019965325,0.00034442256,0.00041291487,6.973214e-05,0.00013185745,0.0015922225,0.0009628024,1.9276009e-05,9.315435e-05,4.1035026e-05,0.00029888755,0.0014371272
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes\Right_R0\PICT023.png,16,0.048176903,0.00039534687,0.00059796707,0.025156291,0.004371376,0.0056435256,0.00016515549,0.002839871,0.006601465,0.0014393487,0.0002383367,0.005207051,0.13810837,0.020933645,6.5589205e-07,0.00011171974,0.6532173,0.005396799,4.8657887e-05,0.0033851855,0.07083745,0.0004496423,0.0030803466,0.0021642295,0.0014332014
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes\Back_R3\PICT572.png,3,8.123853e-06,0.013483949,2.0577847e-06,0.98464394,7.1477193e-09,9.153697e-08,5.594572e-08,6.35966e-07,2.982622e-08,9.036733e-06,9.027055e-09,3.2366843e-05,1.2136275e-08,8.818724e-11,3.3388832e-07,8.810651e-06,5.419811e-07,1.5357448e-07,1.082375e-06,6.5842264e-06,2.9985495e-07,1.0054688e-08,3.9266317e-07,0.0018014795,1.6813345e-07
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes\Right_R1\PICT030.png,17,0.74236256,0.13243751,0.0013311058,0.021767175,2.4681038e-05,0.0006676046,8.792158e-06,2.732708e-05,2.853385e-05,0.016745249,2.6499793e-06,0.005018159,0.00050762825,0.004226084,7.4044315e-06,4.4727484e-09,0.00077151606,0.0230739,0.0002484106,1.3724287e-05,6.197444e-05,0.04965361,0.0008106861,0.00017551763,2.8326594e-05
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes\Back_R2\PICT561.png,2,0.0011118484,0.0005481741,0.95844954,0.036258567,5.4556972e-09,4.5164663e-09,3.4150535e-08,1.4712805e-08,2.5262471e-08,6.3814255e-08,1.8146064e-05,7.148576e-08,2.185353e-06,1.02237415e-07,6.841914e-07,2.945127e-05,1.5407915e-05,9.446438e-08,3.5915295e-07,9.675635e-05,9.48379e-08,4.7840207e-05,0.0003602758,0.002929161,0.00013089324
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes\Right_R3\PICT096.png,19,0.00011524151,3.3443226e-05,0.00717118,6.6643006e-05,9.093881e-05,0.00012455862,0.0002936717,4.252338e-05,0.0017780224,5.3399635e-05,0.008763359,0.002460817,0.0007946074,0.00028063855,0.00052343606,0.024544,4.175682e-05,8.084528e-06,0.0013127855,0.9448083,0.0002716781,0.0008322297,0.0023510891,0.0007491485,0.00248859
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes\Front_R0\PICT713.png,8,0.0029441102,6.763234e-05,5.711014e-05,3.4439734e-05,0.029221604,0.014686183,0.0085719405,0.002349612,0.8831485,0.0016304028,0.0406296,0.0007306989,0.00027553274,0.00015681649,2.6610223e-05,0.0009638201,0.0007538345,0.0006462669,0.00038423325,0.006654152,0.00032355083,0.0015833254,9.765348e-07,7.0778556e-06,0.00415195
