,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,y'__10,y'__11,y'__12,y'__13,y'__14,y'__15,y'__16,y'__17,y'__18,y'__19,y'__20,y'__21,y'__22,y'__23,y'__24,Recall
y:label=0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9545
y:label=1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.9354
y:label=2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=5,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9090
y:label=6,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9
y:label=7,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=8,0,0,0,0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0.875
y:label=9,0,0,0,0,0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96
y:label=10,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.9166
y:label=11,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9545
y:label=12,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0.9411
y:label=13,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0.9565
y:label=14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0.9545
y:label=15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0.8695
y:label=16,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,20,0,0,0,1,0,0,2,0,0.7407
y:label=17,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,1,0,1,0,0,0,0.8
y:label=18,0,0,0,0,1,0,0,0,1,2,1,0,0,0,6,0,0,0,11,0,0,0,1,0,0,0.4782
y:label=19,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,18,0,0,0,0,0,0.7826
y:label=20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0.9629
y:label=21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1
y:label=22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0.9642
y:label=23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1
y:label=24,2,2,1,0,1,0,0,0,4,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,11,0.3793
Precision,0.7241,0.9354,0.84,0.8484,0.9166,0.9523,0.9473,1,0.8484,0.8888,0.9166,0.8076,0.8,0.9565,0.7777,0.9090,1,0.9090,1,0.7826,0.9285,0.875,0.9310,0.8260,0.9166,
F-Measures,0.8234,0.9354,0.9130,0.9179,0.9564,0.9301,0.9230,1,0.8614,0.9230,0.9166,0.8749,0.8648,0.9565,0.8570,0.8888,0.8510,0.8510,0.6470,0.7826,0.9453,0.9333,0.9473,0.9047,0.5365,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy,0.8821,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.Precision,0.8895,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.Recall,0.8894,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.F-Measures,0.8776,,,,,,,,,,,,,,,,,,,,,,,,,
